make,model,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province,country
RENAULT,Clio,9500,Gasolina,2018.0,43543,75.0,5,Manual,Gris / Plata,22,True,Barcelona,Spain
PEUGEOT,1007,4200,Gasolina,2007.0,118000,110.0,3,Manual,Negro,13,True,Baleares,Spain
PEUGEOT,Rifter,26995,Diésel,2021.0,1,130.0,5,Manual,Gris / Plata (GRIS ARTENSE),19,True,Zaragoza,Spain
VOLKSWAGEN,Golf Sportsvan,14900,Diésel,2016.0,155000,115.0,5,Manual,Gris / Plata,9,True,León,Spain
OPEL,Crossland X,19150,Gasolina,2019.0,13871,81.0,5,Manual,Gris / Plata,25,True,A Coruña,Spain
SEAT,León,10500,Diésel,2016.0,127000,110.0,5,Manual,Blanco,27,True,Cantabria,Spain
SEAT,León,26400,Diésel,2020.0,50,150.0,5,Automático,Negro,14,True,Toledo,Spain
NISSAN,NOTE,7900,Gasolina,2015.0,54200,80.0,5,Manual,Blanco,2,False,Pontevedra,Spain
MERCEDES-BENZ,Clase B,13500,Diésel,2014.0,104000,109.0,5,Automático,Blanco,42,True,Alicante,Spain
MERCEDES-BENZ,Clase E,23900,Diésel,2016.0,150276,194.0,4,Automático,Negro,44,True,Vizcaya,Spain
DACIA,Duster,8399,Gasolina,2014.0,88056,125.0,5,Manual,Blanco,24,True,Sevilla,Spain
RENAULT,Mégane,10499,Diésel,2017.0,47396,90.0,5,Manual,369 Blanco Glaciar (opaco),10,True,Sevilla,Spain
VOLKSWAGEN,CC,17890,Diésel,2015.0,90000,140.0,4,Automático,Blanco,19,True,Burgos,Spain
MERCEDES-BENZ,Clase V,44097,Diésel,2019.0,24429,163.0,4,Automático,Negro (Obsidiana),27,True,Madrid,Spain
RENAULT,Clio,10000,Gasolina,2008.0,180000,200.0,3,Manual,Azul,12,False,Burgos,Spain
VOLVO,XC60,18990,Diésel,2016.0,93000,150.0,5,Manual,Blanco,19,True,Vizcaya,Spain
DACIA,Duster,8500,Diésel,2014.0,202100,109.0,5,Manual,Blanco,28,True,Madrid,Spain
AUDI,A4,11900,Diésel,2014.0,165999,120.0,5,Manual,Marrón,21,True,Málaga,Spain
PEUGEOT,5008,11900,Diésel,2015.0,86686,120.0,5,Manual,M0VG Gris vapor (metalizado),30,True,Sevilla,Spain
RENAULT,Clio,16190,Gasolina,2020.0,3239,100.0,5,Manual,Marrón (MARRON VISON),17,True,Madrid,Spain
MERCEDES-BENZ,GLC Coupé,49900,Diésel,2019.0,200,170.0,5,Automático,Gris / Plata (PLATA IRIDIO),31,True,Badajoz,Spain
BMW,X3,25400,Diésel,2017.0,36000,190.0,5,Manual,Gris / Plata,24,True,Lleida,Spain
OPEL,Corsa,13100,Gasolina,2019.0,4553,100.0,5,Manual,GAZ Blanco Ion (sÃ³lido),30,True,Barcelona,Spain
VOLKSWAGEN,Golf,17990,Diésel,2013.0,159000,184.0,5,Automático,Gris / Plata (GRIS AZULADO),27,True,Madrid,Spain
HYUNDAI,i40,8400,Gasolina,2012.0,107000,135.0,4,Manual,Gris / Plata,14,True,Álava,Spain
BMW,i3,15500,Eléctrico,2016.0,49000,170.0,5,Automático,Blanco (blanco-negro),28,True,Madrid,Spain
FORD,Fiesta,9450,Gasolina,2018.0,37000,85.0,5,Manual,Gris / Plata (PM Pintura metalizada),33,True,Valencia,Spain
PEUGEOT,406,800,Gasolina,1998.0,120000,135.0,4,Manual,Rojo,13,False,Toledo,Spain
FORD,S-MAX,5500,Diésel,2009.0,202000,140.0,5,Manual,Gris / Plata,13,True,Málaga,Spain
BMW,Serie 1,8499,Diésel,2013.0,259000,116.0,5,Manual,Blanco,12,True,Madrid,Spain
BMW,Serie 2,48200,Gasolina,2017.0,8000,370.0,2,Automático,Azul,6,False,Madrid,Spain
NISSAN,JUKE,10990,Diésel,2015.0,102100,110.0,5,Manual,Gris / Plata,33,True,Valencia,Spain
JEEP,Renegade,16200,Gasolina,2018.0,45168,120.0,5,Manual,Rojo (176 Rojo Colorado),28,True,Valencia,Spain
VOLKSWAGEN,Passat,3400,Diésel,2006.0,272000,140.0,4,Manual,Gris / Plata,9,True,Madrid,Spain
SUZUKI,Swift,21200,Gasolina,2020.0,10,129.0,5,Manual,Rojo (Rojo con techo negro),12,True,La Rioja,Spain
OPEL,Antara,7000,Gasolina,2009.0,119000,140.0,5,Manual,Negro,5,False,Baleares,Spain
FIAT,Doblò Cargo,4550,Gas natural (CNG),2013.0,114000,120.0,3,Manual,Blanco,35,False,Madrid,Spain
MERCEDES-BENZ,CLA,44600,Diésel,2021.0,0,150.0,4,Manual,Azul (Azul Demin),0,True,Sevilla,Spain
BMW,Serie 5,37200,Diésel,2019.0,35760,190.0,4,Automático,"A90 Sophistograu, efecto de brillo (metalizado)",4,True,Madrid,Spain
RENAULT,Mégane,5500,Diésel,2012.0,300000,110.0,5,Manual,Blanco,10,True,Alicante,Spain
BMW,Serie 1,7480,Diésel,2007.0,90000,177.0,3,Manual,Beige,9,True,Barcelona,Spain
CITROEN,C4,12900,Diésel,2018.0,52700,99.0,5,Manual,Blanco,20,True,Girona,Spain
JEEP,Grand Cherokee,8999,Diésel,2005.0,199000,218.0,5,Automático,Azul,30,True,Madrid,Spain
SEAT,Arona,19900,Diésel,2019.0,17788,115.0,5,Manual,Blanco (negro),22,True,Córdoba,Spain
SEAT,Ibiza,4500,Diésel,2007.0,86000,80.0,3,Manual,Rojo,14,True,Asturias,Spain
LAND-ROVER,Discovery Sport,60190,Diésel,2019.0,0,150.0,5,Automático,Blanco,10,True,Alicante,Spain
MERCEDES-BENZ,GLC Coupé,89250,Gasolina,2021.0,1,390.0,5,Automático,Azul (brillante),29,True,Valencia,Spain
JEEP,Renegade,20300,Gasolina,2020.0,1,120.0,5,Manual,Negro,20,True,Madrid,Spain
CHEVROLET,Cruze,8500,Gasolina,2013.0,120000,124.0,5,Manual,Gris / Plata,7,False,Sevilla,Spain
SSANGYONG,Rodius,16490,Diésel,2017.0,79900,178.0,5,Manual,Negro,30,True,Madrid,Spain
AUDI,A6,2000,Diésel,2002.0,325000,130.0,5,Manual,Negro,0,False,Badajoz,Spain
OPEL,Astra,3500,Gasolina,2006.0,229193,170.0,3,Manual,Rojo,19,True,Toledo,Spain
RENAULT,Koleos,31600,Diésel,2020.0,1,150.0,5,Automático,Blanco (VARIAS UNIDADES Y COLORES),12,True,Madrid,Spain
ABARTH,500,16875,Gasolina,2019.0,12000,145.0,3,Manual,Rojo (ROJO EXOTICA),22,True,Barcelona,Spain
MERCEDES-BENZ,Clase A,32000,Diésel,2020.0,20100,116.0,4,Automático,Negro (NEGRO COSMOS),13,True,Madrid,Spain
OPEL,Vivaro,20900,Diésel,2018.0,61823,125.0,4,Manual,Marrón,16,True,Alicante,Spain
VOLKSWAGEN,Golf,10490,Gasolina,2006.0,148252,200.0,5,Automático,Rojo,36,True,Sevilla,Spain
BMW,Serie 5,16000,Diésel,2011.0,91000,184.0,4,Automático,Negro,9,False,Jaén,Spain
CITROEN,C3,17000,Diésel,2020.0,5,102.0,5,Manual,Gris / Plata,15,True,Cádiz,Spain
AUDI,Q3,32900,Diésel,2018.0,11700,150.0,5,Automático,Z7Z7 Gris Cronos (metalizada),19,True,Alicante,Spain
AUDI,TT,19500,Diésel,2014.0,210000,184.0,3,Manual,Blanco,12,True,Alicante,Spain
BMW,X1,22900,Diésel,2017.0,70000,150.0,5,Automático,Blanco,54,True,Ciudad Real,Spain
SMART,fortwo,14500,Eléctrico,2019.0,2000,82.0,3,Automático,Rojo,21,True,Madrid,Spain
VOLKSWAGEN,Scirocco,19500,Diésel,2015.0,58000,150.0,3,Manual,Blanco,6,False,Granada,Spain
JAGUAR,Serie XJ,6490,Gasolina,2005.0,260556,298.0,4,Automático,Verde,23,True,Madrid,Spain
VOLKSWAGEN,Tiguan,17300,Diésel,2014.0,91473,140.0,5,Automático,Gris / Plata (*LRO*),37,True,Navarra,Spain
MERCEDES-BENZ,Clase M,14500,Diésel,2007.0,175000,224.0,5,Automático,Gris / Plata,12,False,Alicante,Spain
AUDI,A3,7490,Diésel,2012.0,220000,105.0,5,Manual,Blanco,16,True,Madrid,Spain
MERCEDES-BENZ,Clase CLA,30000,Diésel,2018.0,14000,136.0,5,Manual,Azul,11,False,Madrid,Spain
OPEL,Astra,21400,Gasolina,2019.0,1,145.0,5,Manual,Azul,6,True,Barcelona,Spain
MERCEDES-BENZ,Clase CLK,4999,Gasolina,2002.0,160000,170.0,2,Automático,Gris / Plata,1,True,Alicante,Spain
OPEL,Zafira,5850,Diésel,2008.0,159000,120.0,5,Manual,Gris / Plata,9,True,Ávila,Spain
AUDI,A3,17350,Diésel,2016.0,57054,110.0,5,Manual,Blanco (T9T9 Blanco Ibis),21,True,Tarragona,Spain
RENAULT,Modus,3500,Diésel,2007.0,140000,70.0,5,Manual,Blanco,8,False,Madrid,Spain
OPEL,Combo,9900,Diésel,2016.0,58000,120.0,5,Automático,Blanco,10,True,Girona,Spain
OPEL,Insignia,8300,Diésel,2016.0,173707,136.0,5,Manual,Azul,18,True,Zaragoza,Spain
PEUGEOT,2008,16800,Diésel,2018.0,29000,120.0,5,Manual,Blanco (NACARADO),13,True,Orense,Spain
RENAULT,Mégane,2800,Diésel,2006.0,134000,130.0,5,Manual,Gris / Plata,5,False,Cádiz,Spain
SEAT,León,7900,Diésel,2016.0,156980,115.0,5,Manual,Blanco,20,True,Asturias,Spain
DACIA,Duster,8990,Diésel,2014.0,119500,109.0,5,Manual,Blanco,29,True,Málaga,Spain
VOLKSWAGEN,Transporter,16999,Diésel,2011.0,146000,102.0,4,Manual,Amarillo (Blanco y amarillo ),8,True,Cádiz,Spain
PEUGEOT,308,10710,Diésel,2016.0,87100,120.0,5,Manual,Gris / Plata (plata),15,True,Zaragoza,Spain
PEUGEOT,508 Hybrid,35375,Híbrido enchufable,2020.0,1,225.0,5,Automático,Gris / Plata,12,True,Toledo,Spain
TOYOTA,Yaris,10900,Gasolina,2020.0,12750,69.0,5,Manual,Blanco,20,True,Barcelona,Spain
KIA,Rio,7500,Gasolina,2015.0,100000,84.0,5,Manual,Blanco,6,False,Madrid,Spain
VOLKSWAGEN,Polo,14900,Gasolina,2019.0,19420,95.0,5,Manual,4M4M Naranja Calatea (metalizado),10,True,Girona,Spain
PEUGEOT,5008,33835,Diésel,2021.0,1,130.0,5,Manual,Gris / Plata,31,True,Valencia,Spain
OPEL,Astra,9750,Gasolina,2016.0,85000,125.0,5,Manual,Blanco,8,False,Navarra,Spain
AUDI,Q2,21490,Gasolina,2017.0,79999,150.0,5,Manual,Blanco,31,True,Valencia,Spain
HONDA,Accord,7650,Diésel,2010.0,185700,150.0,5,Manual,Gris / Plata (Gris),46,True,Madrid,Spain
KIA,ceed,10900,Diésel,2016.0,54327,90.0,5,Manual,Gris / Plata,7,True,Córdoba,Spain
FIAT,Punto,2700,Diésel,2013.0,240000,95.0,5,Manual,Beige,4,False,Barcelona,Spain
FIAT,Tipo,12450,Diésel,2018.0,41844,120.0,5,Manual,Marrón,48,True,Valencia,Spain
BMW,Serie 1,8800,Diésel,2009.0,219000,177.0,2,Manual,Negro,9,False,Valencia,Spain
VOLKSWAGEN,Polo,5500,Diésel,2009.0,107000,70.0,5,Manual,Negro,12,True,Murcia,Spain
VOLKSWAGEN,Touran,16900,Diésel,2017.0,88905,115.0,5,Automático,Gris / Plata (GRIS OSCURO),30,True,Murcia,Spain
VOLVO,S60,3333,Diésel,2002.0,400000,163.0,4,Manual,Gris / Plata,10,False,La Rioja,Spain
CITROEN,C4 Spacetourer,21900,Diésel,2018.0,13638,120.0,5,Manual,Rojo,21,True,Barcelona,Spain
BMW,Serie 5,8890,Diésel,2006.0,210973,272.0,4,Automático,Gris / Plata,22,True,Alicante,Spain
MERCEDES-BENZ,Clase B,15000,Diésel,2013.0,47000,109.0,5,Automático,Blanco,10,False,Córdoba,Spain
BMW,Serie 5,28900,Diésel,2017.0,55962,190.0,4,Manual,"A90 Sophistograu, efecto de brillo (metalizado)",20,True,Ávila,Spain
VOLKSWAGEN,Caddy,10910,Diésel,2016.0,80743,102.0,4,Manual,Blanco (BLANCO),14,True,Madrid,Spain
FORD,Focus,2200,Diésel,2006.0,280000,115.0,3,Manual,Gris / Plata,17,True,Valencia,Spain
SEAT,León,13850,Gasolina,2019.0,74000,130.0,5,Manual,Blanco (MET Pintura metalizada),26,True,Valencia,Spain
AUDI,Q7,59900,Diésel,2018.0,40000,272.0,5,Automático,"(( NACIONAL, S-LINE, LLANTA 22"", FULL ))",54,True,Madrid,Spain
TOYOTA,Auris,12500,Híbrido,2016.0,85000,136.0,5,Automático,Gris / Plata,14,True,Madrid,Spain
FIAT,Doblò,6750,Diésel,2014.0,114563,90.0,5,Manual,Granate,12,False,Valencia,Spain
NISSAN,QASHQAI,20300,Diésel,2018.0,10000,130.0,5,Manual,Azul,11,True,Sevilla,Spain
CHEVROLET,Aveo,5490,Gasolina,2009.0,121300,101.0,4,Automático,Gris / Plata,30,True,Alicante,Spain
BMW,Serie 3,16950,Diésel,2015.0,85000,143.0,5,Manual,Blanco,14,False,Girona,Spain
VOLVO,S40,3900,Diésel,2005.0,195000,109.0,4,Manual,Azul,8,True,Madrid,Spain
SEAT,Ibiza,2500,Diésel,2007.0,206000,70.0,5,Manual,Amarillo,6,False,Barcelona,Spain
VOLKSWAGEN,Golf,2900,Gasolina,2000.0,136000,105.0,3,Manual,Gris / Plata,27,True,Barcelona,Spain
PEUGEOT,208,10600,Diésel,2017.0,91616,75.0,5,Manual,Gris / Plata,14,True,Pontevedra,Spain
SSANGYONG,Korando,22800,Gasolina,2020.0,20,163.0,5,Manual,Negro,16,True,León,Spain
VOLKSWAGEN,Scirocco,18500,Gasolina,2017.0,70000,125.0,3,Manual,Azul,6,False,Madrid,Spain
SEAT,León,7290,Gasolina,2015.0,44000,110.0,5,Manual,Azul,8,True,Las Palmas,Spain
HYUNDAI,Santa Fe,5499,Diésel,2008.0,159999,155.0,5,Manual,Blanco,13,True,Barcelona,Spain
KIA,ceed,7900,Diésel,2015.0,169000,90.0,5,Manual,Blanco,28,True,A Coruña,Spain
VOLKSWAGEN,Golf,15990,Gasolina,2018.0,82000,115.0,5,Manual,Blanco,19,True,Madrid,Spain
HYUNDAI,TUCSON,25750,Diésel,2020.0,18,116.0,5,Manual,"Beige (PLATA, NEGRO, BLANCO, DORADO)",19,True,Alicante,Spain
OPEL,Mokka X,16900,Gasolina,2019.0,57000,140.0,5,Manual,Blanco,29,True,Málaga,Spain
VOLKSWAGEN,Golf,15400,Gasolina,2017.0,65000,125.0,5,Automático,Rojo,6,True,Málaga,Spain
HONDA,Civic,2000,Diésel,2007.0,220000,140.0,5,Manual,Blanco,7,False,Huelva,Spain
BMW,X3,19800,Diésel,2013.0,159000,177.0,5,Manual,Beige,6,False,Asturias,Spain
BMW,Serie 5,23990,Diésel,2013.0,109990,313.0,4,Automático,Negro,41,True,Valencia,Spain
PORSCHE,911,410000,Gasolina,2019.0,150,510.0,2,Manual,Gris / Plata,12,True,Girona,Spain
SEAT,Córdoba,500,Gasolina,2005.0,159000,75.0,4,Manual,Blanco,0,False,Las Palmas,Spain
BMW,X6,55490,Diésel,2018.0,26391,258.0,5,Automático,Gris / Plata,40,True,Madrid,Spain
FORD,C-Max,8500,Diésel,2016.0,160000,120.0,5,Manual,Gris / Plata,12,True,Cádiz,Spain
CITROEN,C5,2950,Gasolina,2006.0,136377,125.0,5,Manual,Rojo,9,True,Madrid,Spain
FORD,Fiesta,5900,Diésel,2015.0,141000,95.0,5,Manual,Blanco,14,False,Madrid,Spain
SUZUKI,Swift,3300,Gasolina,2008.0,123000,92.0,5,Manual,Azul,35,True,Jaén,Spain
CITROEN,Jumpy,16499,Diésel,2018.0,37000,115.0,4,Manual,Blanco,12,True,Málaga,Spain
CITROEN,C5 Aircross,26750,Diésel,2021.0,0,131.0,5,Manual,Gris / Plata,22,True,Albacete,Spain
BMW,Serie 3,2500,Diésel,2001.0,283400,136.0,4,Manual,Negro,4,False,Guipúzcoa,Spain
FIAT,Ducato,18750,Diésel,2020.0,5,140.0,4,Manual,Blanco,15,True,Asturias,Spain
FIAT,500,9500,Gasolina,2018.0,30000,69.0,3,Manual,Blanco,14,True,Barcelona,Spain
AUDI,A1,11000,Diésel,2011.0,90000,90.0,3,Automático,Negro,54,True,Castellón,Spain
TOYOTA,Auris,11200,Híbrido,2014.0,84822,136.0,5,Automático,040 Blanco Classic (sÃ³lido),28,True,Barcelona,Spain
VOLKSWAGEN,Golf,12500,Diésel,2017.0,47000,110.0,5,Manual,Gris / Plata,4,False,Alicante,Spain
FORD,Focus C-MAX,4700,Diésel,2005.0,190000,109.0,5,Manual,Negro,2,True,Valencia,Spain
PEUGEOT,206 +,3900,Diésel,2010.0,178000,70.0,5,Manual,Rojo,15,True,Almería,Spain
BMW,Serie 4,29100,Diésel,2017.0,52550,190.0,2,Automático,Negro,10,True,Guadalajara,Spain
TOYOTA,Yaris,12500,Híbrido,2016.0,43987,100.0,5,Automático,Rojo,19,True,Barcelona,Spain
SUZUKI,Jimny,25900,Gasolina,2020.0,8200,102.0,3,Manual,Blanco,5,False,Asturias,Spain
PORSCHE,911,117999,Gasolina,2020.0,5999,385.0,2,Automático,Negro,17,True,Girona,Spain
NISSAN,QASHQAI,20900,Gasolina,2019.0,12000,140.0,5,Manual,Gris / Plata,20,True,Pontevedra,Spain
RENAULT,Clio,8990,Diésel,2017.0,127000,75.0,5,Manual,Blanco,35,True,Madrid,Spain
JEEP,Renegade,37500,Híbrido enchufable,2020.0,100,190.0,5,Automático,Azul,54,True,Huesca,Spain
SEAT,Ateca,17900,Diésel,2018.0,72000,115.0,5,Manual,Blanco,33,True,Teruel,Spain
PEUGEOT,309,650,Gasolina,1991.0,307000,94.0,5,Manual,Rojo,9,False,Madrid,Spain
VOLKSWAGEN,Touran,17299,Diésel,2017.0,54478,115.0,5,Automático,Gris / Plata,27,True,Barcelona,Spain
BMW,Z4,19950,Gasolina,2010.0,134000,204.0,2,Manual,Azul,25,False,La Rioja,Spain
OPEL,Grandland X,21990,Gasolina,2020.0,10,130.0,5,Manual,Blanco,15,True,Vizcaya,Spain
MERCEDES-BENZ,Clase CLC,10800,Diésel,2008.0,84754,150.0,3,Manual,Negro (*BAR*),33,True,Navarra,Spain
FIAT,Ducato,10000,Diésel,2014.0,340000,148.0,4,Manual,Blanco,1,False,Córdoba,Spain
HYUNDAI,i20,11100,Gasolina,2020.0,8984,75.0,5,Manual,Rojo (TOMATO RED),26,True,Barcelona,Spain
VOLKSWAGEN,Touran,19500,Diésel,2016.0,90000,150.0,5,Manual,Gris / Plata,11,True,Lleida,Spain
PEUGEOT,508,25990,Diésel,2019.0,22200,130.0,5,Automático,Gris / Plata,54,True,Valladolid,Spain
BMW,X1,19850,Diésel,2016.0,72000,150.0,5,Automático,Blanco,11,True,Barcelona,Spain
PORSCHE,911,83000,Gasolina,2011.0,86000,500.0,2,Automático,Gris / Plata,45,True,Vizcaya,Spain
FORD,Focus,9000,Diésel,2017.0,95000,120.0,5,Manual,Blanco,8,True,Sevilla,Spain
VOLVO,V40,19900,Gasolina,2018.0,25961,122.0,5,Manual,Blanco,25,True,Badajoz,Spain
RENAULT,Grand Scénic,10900,Diésel,2016.0,94000,110.0,5,Manual,Blanco,22,True,Valencia,Spain
PEUGEOT,Boxer,21950,Diésel,2017.0,99950,163.0,2,Manual,Azul,24,True,Sevilla,Spain
AUDI,A1,14400,Diésel,2016.0,39611,90.0,3,Manual,Blanco,8,True,Barcelona,Spain
HYUNDAI,i30,19990,Gasolina,2019.0,20877,140.0,5,Automático,Azul (Azul Oscuro),45,True,Madrid,Spain
CITROEN,C8,4800,Diésel,2005.0,170780,109.0,5,Automático,Verde,10,True,Málaga,Spain
VOLKSWAGEN,Caddy,6600,Diésel,2008.0,150000,75.0,4,Manual,Blanco,9,True,Zaragoza,Spain
RENAULT,Kangoo Furgón,5900,Diésel,2015.0,140000,75.0,3,Manual,Blanco,12,True,Valencia,Spain
MERCEDES-BENZ,Clase C,26900,Diésel,2016.0,57000,170.0,5,Automático,Azul,27,True,Barcelona,Spain
BMW,Serie 2 Gran Tourer,16690,Diésel,2016.0,128000,150.0,5,Manual,Azul,41,True,Madrid,Spain
BMW,X5,22500,Diésel,2011.0,112752,245.0,5,Automático,Blanco (*BAR*),34,True,Castellón,Spain
BMW,Serie 1,15990,Diésel,2016.0,84000,116.0,5,Manual,Blanco,17,True,Madrid,Spain
CITROEN,C5 Aircross Hybrid,42461,Híbrido enchufable,2020.0,1,225.0,5,Automático,Gris / Plata,4,True,Tarragona,Spain
OPEL,Crossland X,19400,Diésel,2020.0,7,102.0,5,Manual,Gris / Plata,17,True,Sevilla,Spain
MERCEDES-BENZ,Clase C,2490,Diésel,1997.0,280000,150.0,5,Automático,Verde,7,True,Cantabria,Spain
CITROEN,C4 Picasso,10660,Gasolina,2015.0,102143,130.0,5,Manual,Negro (NEGRO),15,True,Vizcaya,Spain
RENAULT,Mégane,4600,Diésel,2010.0,202492,90.0,5,Manual,Negro,6,False,Tenerife,Spain
KIA,ceed Sportswagon,13000,Gasolina,2018.0,56000,120.0,5,Manual,Blanco,5,False,Pontevedra,Spain
BMW,Serie 2 Gran Tourer,17000,Diésel,2017.0,117000,116.0,5,Automático,Azul (Azul oscuro),42,True,Madrid,Spain
MERCEDES-BENZ,Clase GLC,67500,Diésel,2020.0,14382,245.0,5,Automático,Negro,14,True,Valencia,Spain
OPEL,Insignia,11560,Diésel,2017.0,58000,120.0,5,Manual,Gris / Plata,31,True,Valencia,Spain
CITROEN,C5 Aircross,26100,Diésel,2019.0,0,131.0,5,Manual,Negro,10,True,Madrid,Spain
AUDI,A4,25900,Diésel,2017.0,54000,150.0,5,Automático,Blanco,22,True,Castellón,Spain
AUDI,Q5,39900,Diésel,2019.0,20000,163.0,5,Automático,L5L5 Plata Florete (metalizado),20,True,Asturias,Spain
FORD,Mondeo,6500,Diésel,2007.0,46173,130.0,5,Manual,Gris / Plata,9,False,Barcelona,Spain
HYUNDAI,i30,21700,Gasolina,2019.0,5400,140.0,5,Manual,Blanco (POLAR WHITE),12,True,Valencia,Spain
CITROEN,C4 Picasso,6000,Diésel,2011.0,76214,150.0,5,Automático,Blanco,35,True,Badajoz,Spain
RENAULT,Kadjar,17490,Diésel,2017.0,37200,130.0,5,Manual,Negro (Símil cuero/tejido negro),27,True,Madrid,Spain
VOLKSWAGEN,Golf,15999,Gasolina,2011.0,163759,210.0,5,Automático,Negro,35,True,Granada,Spain
AUDI,A4,6900,Gasolina,2006.0,139000,130.0,4,Manual,Gris / Plata,38,True,Salamanca,Spain
NISSAN,PULSAR,9500,Diésel,2015.0,27000,110.0,5,Manual,Gris / Plata,9,False,Barcelona,Spain
FORD,C-Max,16500,Diésel,2019.0,16500,120.0,5,Manual,Negro,12,True,Madrid,Spain
FIAT,Doblò,10300,Diésel,2017.0,69300,95.0,5,Manual,Granate,17,True,Murcia,Spain
TOYOTA,C-HR,20900,Híbrido,2017.0,85000,122.0,5,Automático,Negro,4,False,Madrid,Spain
FIAT,500C,12750,Gasolina,2019.0,25794,69.0,2,Automático,Blanco,16,True,Baleares,Spain
BMW,Serie 3,20990,Diésel,2015.0,69000,190.0,5,Manual,Gris / Plata (plomo),15,True,Álava,Spain
AUDI,A4,5500,Diésel,2006.0,341000,140.0,5,Manual,Azul,8,True,Salamanca,Spain
BMW,Serie 5,3000,Gasolina,2001.0,220000,170.0,4,Manual,Azul,15,False,Barcelona,Spain
